Artist,SongTitle,AlbumTitle,Genre,Price,CriticRating
Young Thug,Relationship (feat. Future),Amy Landing,Reggae,5.99,9.24
Childish Gambino,Redbone,Jillian Courts,Rock,11.99,9.23
Post Malone,White Iverson,Jacob Creek,Rock,2.89,9.22
Sam Smith,Burning,Hoover Brooks,Reggae,16.89,9.21
2 Chainz,It's A Vibe,Soto Lane,Pop,9.99,9.2
Ed Sheeran,Shape of You,Victor Divide,RNB,14.99,9.19
Luis Fonsi,Despacito - Remix,Nicholas Route,Jazz,16.99,9.18
Sam Hunt,Body Like A Back Road,Roberts Ridge,Reggae,13.89,9.17
Chris Brown,Pills & Automobiles,Long Camp,RNB,9.89,9.16
Chris Brown,Questions,Cynthia Locks,Jazz,6.99,9.15
Big Sean,Pull Up N Wreck (With Metro Boomin),Sarah Springs,Classical,13.99,9.14
Lil Xan,Betrayed,Baker Grove,Classical,14.89,9.13
Playboi Carti,wokeuplikethis*,Logan Station,Classical,7.99,9.12
Russ,Losin Control,Simmons Estates,Rock,7.89,9.11
N.E.R.D,Lemon,Walker Villages,Classical,15.89,9.1
YBN Nahmir,Rubbin Off The Paint,Hernandez Hills,Country,14.99,9.09
blackbear,do re mi (feat. Gucci Mane),Caitlin Streets,Country,4.89,9.08
Clean Bandit,I Miss You (feat. Julia Michaels),Natalie Green,Reggae,8.99,9.07
21 Savage,Disrespectful,Potter Causeway,Pop,0.89,9.06
Taylor Swift,...Ready For It?,Kelly Course,Country,17.99,9.05
Sam Smith,Say It First,Chelsea Estates,Country,14.99,9.04
Niall Horan,Slow Hands,Robinson Forge,Rock,12.99,9.03
Liam Payne,Strip That Down,Michael Gardens,Rock,9.89,9.02
Macklemore,Good Old Days (feat. Kesha),Felicia Coves,Folk,7.99,9.01
XXXTENTACION,Everybody Dies In Their Nightmares,Hardin Pines,Country,8.99,9
DJ Khaled,I'm the One,Jordan Parkway,Folk,5.89,8.99
Taylor Swift,Gorgeous,Baird Groves,Folk,2.99,8.98
Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ),Vanessa Heights,Pop,3.89,8.97
Lil Uzi Vert,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Michael Way,RNB,5.89,8.96
KYLE,iSpy (feat. Lil Yachty),Olson Lodge,RNB,15.99,8.95
Future,Patek Water,Ellis Mountain,Jazz,17.89,8.94
DJ Khaled,Wild Thoughts,Robert Flat,RNB,2.99,8.93
Sam Smith,One Last Song,David Squares,Reggae,15.89,8.92
Migos,Bad and Boujee (feat. Lil Uzi Vert),Sandra Corners,Pop,14.99,8.91
Sam Smith,Nothing Left For You,Brown Square,Country,8.89,8.9
Rich The Kid,New Freezer (feat. Kendrick Lamar),Selena Vista,Country,8.89,8.89
Kane Brown,What Ifs,Hahn Branch,Pop,18.99,8.88
Big Sean,Bounce Back,Velasquez Brooks,Country,14.89,8.87
Kodak Black,Tunnel Vision,Susan Manors,Jazz,2.89,8.86
Offset,Nightmare,Ortiz Forks,Country,18.99,8.85
James Arthur,Say You Won't Let Go,Kelli Lodge,Country,13.99,8.84
Avicii,Lonely Together (feat. Rita Ora),Adam Manor,Pop,5.89,8.83
Kesha,Praying,Robert Burgs,RNB,16.99,8.82
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,Joshua Roads,Classical,9.99,8.81
Bruno Mars,That's What I Like,Ellen Unions,Jazz,18.89,8.8
P!nk,What About Us,Bell Mission,Pop,11.99,8.79
Miguel,Sky Walker,Stanley Locks,Classical,17.99,8.78
21 Savage,Mad Stalkers,Henry Bridge,Jazz,18.89,8.77
Sam Smith,Midnight Train,Aaron Haven,Reggae,4.99,8.76
Daya,New,Gina Trafficway,Pop,3.89,8.75
Niall Horan,Too Much To Ask,Duran Row,Classical,0.89,8.74
XXXTENTACION,Look At Me!,Madison Freeway,Pop,0.99,8.73
Migos,T-Shirt,Johnston Drive,Jazz,6.99,8.72
Sam Smith,HIM,James Mews,Jazz,0.99,8.71
Rae Sremmurd,Perplexing Pegasus,Tammy Station,Reggae,3.99,8.7
Sam Smith,No Peace,Andrew Squares,Jazz,0.89,8.69
Lil Pump,Boss,Ashley Plain,Country,8.89,8.68
Thomas Rhett,Unforgettable,Kimberly Club,Country,8.89,8.67
Lauv,I Like Me Better,White Brooks,Folk,7.89,8.66
Shawn Mendes,There's Nothing Holdin' Me Back,Long Place,Reggae,5.99,8.65
Sam Smith,"Baby, You Make Me Crazy",Powell Stream,Folk,1.89,8.64
Travis Scott,beibs in the trap,Sarah Place,Classical,1.99,8.63
Drake,Passionfruit,Kelly Cliff,Pop,7.99,8.62
SZA,The Weekend,Yates Terrace,Jazz,15.89,8.61
21 Savage,X (feat. Future),Cathy Views,Country,13.99,8.6
Liam Payne,Bedroom Floor,Alejandro Spurs,RNB,6.89,8.59
blackbear,do re mi,John Courts,Classical,13.89,8.58
J. Cole,No Role Modelz,Wright Motorway,Pop,8.89,8.57
Justin Bieber,Friends (with BloodPopŒ¬),Jill Underpass,Jazz,4.89,8.56
Rae Sremmurd,Swang,Joseph Streets,RNB,1.99,8.55
DJ Snake,A Different Way (with Lauv),Mitchell Forges,Folk,10.89,8.54
Gucci Mane,Curve (feat. The Weeknd),Hayes Plaza,Jazz,6.89,8.53
GoldLink,Crew,Ryan Crossroad,Folk,8.99,8.52
Famous Dex,Pick It Up (feat. A$AP Rocky),Thomas Glens,Rock,16.99,8.51
Aminí©,Caroline,Wilson Ridges,Country,14.89,8.5
DRAM,Broccoli (feat. Lil Yachty),Robert Summit,RNB,10.89,8.49
The Weeknd,Starboy,Kelli Springs,Rock,19.99,8.48
Drake,Portland,Patrick Pines,Classical,10.99,8.47
The Chainsmokers,Closer,Hernandez Pines,Folk,2.99,8.46
Halsey,Now Or Never,Young Landing,RNB,6.89,8.45
Tee Grizzley,First Day Out,Garcia Row,Reggae,19.89,8.44
2 Chainz,4:00 AM,Edward Ranch,Jazz,2.89,8.43
Lil Uzi Vert,Money Longer,Matthew Locks,RNB,19.89,8.42
Lil Pump,D Rose,Derek Fall,Classical,0.89,8.41
The Chainsmokers,Something Just Like This,Orr Harbors,Jazz,11.89,8.4
Sam Smith,Palace,Sydney Spur,Rock,16.89,8.39
Drake,Fake Love,Cherry Junctions,Country,10.99,8.38
Post Malone,No Option,Luke Knolls,Jazz,16.99,8.37
Sam Smith,The Thrill Of It All,Kelly Dam,Pop,4.89,8.36
6LACK,PRBLMS,Shaw Pine,RNB,8.89,8.35
Sam Smith,Scars,Brown Rapids,Pop,6.89,8.34
Luke Combs,When It Rains It Pours,Herrera Mountain,RNB,2.89,8.33
ZAYN,"I Donäó»t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Robinson Parkways,Classical,6.89,8.32
Kygo,Kids in Love,Armstrong Inlet,Jazz,17.99,8.31
A Boogie Wit da Hoodie,Undefeated (feat. 21 Savage),Stephanie Villages,Country,4.89,8.3
Future,Feed Me Dope,Morrison Meadows,Reggae,9.89,8.29
Metro Boomin,No Complaints,Jade Meadow,RNB,0.89,8.28
YFN Lucci,Everyday We Lit (feat. PnB Rock),Daniel Courts,Country,2.99,8.27
NAV,Myself,Stephanie Mountain,Classical,2.89,8.26
Calvin Harris,Feels,James Point,Country,13.99,8.25
Zedd,Stay (with Alessia Cara),Mcdaniel Spring,Rock,17.99,8.24
Chance The Rapper,No Problem (feat. Lil Wayne & 2 Chainz),Ellis Mountains,RNB,9.89,8.23
Russ,What They Want,Myers Manors,Pop,2.89,8.22
Jon Pardi,Heartache On The Dance Floor,Kevin Harbor,Classical,9.89,8.21
21 Savage,Run Up the Racks,Wheeler Hills,Reggae,2.89,8.2
Bryson Tiller,Don't,Harrell Turnpike,Jazz,11.89,8.19
A Boogie Wit da Hoodie,Say A',Kevin Route,Classical,6.89,8.18
CNCO,Reggaetí_n Lento (Remix) [CNCO & Little Mix],Kaufman Pines,Classical,2.99,8.17
Ayo & Teo,Rolex,Laurie Flats,Jazz,9.99,8.16
Bryson Tiller,Exchange,Martinez Freeway,Pop,7.89,8.15
6LACK,Ex Calling,Tara Plain,Country,6.89,8.14
Julia Michaels,Issues,Wolf Branch,Rock,1.89,8.13
Lil Pump,Flex Like Ouu,Shaw Road,Pop,12.99,8.12
Gucci Mane,Both (feat. Drake),Emily Summit,Rock,1.99,8.11
Tee Grizzley,From The D To The A (feat. Lil Yachty),Kimberly Lights,RNB,8.89,8.1
Drake,One Dance,Gutierrez Motorway,Jazz,8.99,8.09
21 Savage,Still Serving,Ryan Ridge,Rock,18.89,8.08
Young Thug,pick up the phone,Lynch Green,Reggae,17.99,8.07
Noah Cyrus,Again,Rodriguez Via,Pop,15.89,8.06
Khalid,8TEEN,Davis Stream,Country,0.99,8.05
Cheat Codes,No Promises (feat. Demi Lovato),Charles Lock,Reggae,9.89,8.04
Hailee Steinfeld,Most Girls,Owen Forest,Folk,12.99,8.03
Trippie Redd,Love Scars,Ibarra Wall,Country,0.99,8.02
Khalid,Saved,Kurt Pike,RNB,10.99,8.01
PnB Rock,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",Carroll Mountains,Pop,18.99,8
Mariah Carey,All I Want for Christmas Is You,Heather Well,RNB,17.99,7.99
Ozuna,Se PreparÑ ,Rogers Divide,Rock,0.99,7.98
Sam Smith,One Day At A Time,Daniel Mission,Pop,13.99,7.97
Calvin Harris,Slide,Michael Village,Classical,13.99,7.96
21 Savage,Darth Vader,Tyler Greens,Jazz,3.89,7.95
Selena Gomez,Fetish (feat. Gucci Mane),Christina Pass,Reggae,7.99,7.94
Brett Young,In Case You Didn't Know,Gene Coves,Rock,14.89,7.93
Sam Smith,Stay With Me,Garcia Skyway,Pop,0.89,7.92
Kygo,It Ain't Me (with Selena Gomez),Jennifer Motorway,RNB,18.99,7.91
